dex,name,type_1,type_2,total,hp,attack,defense,sp_atk,sp_def,speed,poke_links,generation,image_url
0178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,https://pokemondb.net/pokedex/xatu,2,https://img.pokemondb.net/artwork/large/xatu.jpg
0179,Mareep,Electric,None,280,55,40,40,65,45,35,https://pokemondb.net/pokedex/mareep,2,https://img.pokemondb.net/artwork/large/mareep.jpg
0180,Flaaffy,Electric,None,365,70,55,55,80,60,45,https://pokemondb.net/pokedex/flaaffy,2,https://img.pokemondb.net/artwork/large/flaaffy.jpg
0181,Ampharos,Electric,None,510,90,75,85,115,90,55,https://pokemondb.net/pokedex/ampharos,2,https://img.pokemondb.net/artwork/large/ampharos.jpg
0182,Bellossom,Grass,None,490,75,80,95,90,100,50,https://pokemondb.net/pokedex/bellossom,2,https://img.pokemondb.net/artwork/large/bellossom.jpg
0183,Marill,Water,Fairy,250,70,20,50,20,50,40,https://pokemondb.net/pokedex/marill,2,https://img.pokemondb.net/artwork/large/marill.jpg
0184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,https://pokemondb.net/pokedex/azumarill,2,https://img.pokemondb.net/artwork/large/azumarill.jpg
0185,Sudowoodo,Rock,None,410,70,100,115,30,65,30,https://pokemondb.net/pokedex/sudowoodo,2,https://img.pokemondb.net/artwork/large/sudowoodo.jpg
0186,Politoed,Water,None,500,90,75,75,90,100,70,https://pokemondb.net/pokedex/politoed,2,https://img.pokemondb.net/artwork/large/politoed.jpg
0187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,https://pokemondb.net/pokedex/hoppip,2,https://img.pokemondb.net/artwork/large/hoppip.jpg
0188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,https://pokemondb.net/pokedex/skiploom,2,https://img.pokemondb.net/artwork/large/skiploom.jpg
0189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,https://pokemondb.net/pokedex/jumpluff,2,https://img.pokemondb.net/artwork/large/jumpluff.jpg
0190,Aipom,Normal,None,360,55,70,55,40,55,85,https://pokemondb.net/pokedex/aipom,2,https://img.pokemondb.net/artwork/large/aipom.jpg
0191,Sunkern,Grass,None,180,30,30,30,30,30,30,https://pokemondb.net/pokedex/sunkern,2,https://img.pokemondb.net/artwork/large/sunkern.jpg
0192,Sunflora,Grass,None,425,75,75,55,105,85,30,https://pokemondb.net/pokedex/sunflora,2,https://img.pokemondb.net/artwork/large/sunflora.jpg
0193,Yanma,Bug,Flying,390,65,65,45,75,45,95,https://pokemondb.net/pokedex/yanma,2,https://img.pokemondb.net/artwork/large/yanma.jpg
0194,Wooper,Water,Ground,210,55,45,45,25,25,15,https://pokemondb.net/pokedex/wooper,2,https://img.pokemondb.net/artwork/large/wooper.jpg
0195,Quagsire,Water,Ground,430,95,85,85,65,65,35,https://pokemondb.net/pokedex/quagsire,2,https://img.pokemondb.net/artwork/large/quagsire.jpg
0196,Espeon,Psychic,None,525,65,65,60,130,95,110,https://pokemondb.net/pokedex/espeon,2,https://img.pokemondb.net/artwork/large/espeon.jpg
0197,Umbreon,Dark,None,525,95,65,110,60,130,65,https://pokemondb.net/pokedex/umbreon,2,https://img.pokemondb.net/artwork/large/umbreon.jpg
0198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,https://pokemondb.net/pokedex/murkrow,2,https://img.pokemondb.net/artwork/large/murkrow.jpg
0199,Slowking,Water,Psychic,490,95,75,80,100,110,30,https://pokemondb.net/pokedex/slowking,2,https://img.pokemondb.net/artwork/large/slowking.jpg
0200,Misdreavus,Ghost,None,435,60,60,60,85,85,85,https://pokemondb.net/pokedex/misdreavus,2,https://img.pokemondb.net/artwork/large/misdreavus.jpg
0201,Unown,Psychic,None,336,48,72,48,72,48,48,https://pokemondb.net/pokedex/unown,2,https://img.pokemondb.net/artwork/large/unown.jpg
0202,Wobbuffet,Psychic,None,405,190,33,58,33,58,33,https://pokemondb.net/pokedex/wobbuffet,2,https://img.pokemondb.net/artwork/large/wobbuffet.jpg
0203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,https://pokemondb.net/pokedex/girafarig,2,https://img.pokemondb.net/artwork/large/girafarig.jpg
0204,Pineco,Bug,None,290,50,65,90,35,35,15,https://pokemondb.net/pokedex/pineco,2,https://img.pokemondb.net/artwork/large/pineco.jpg
0205,Forretress,Bug,Steel,465,75,90,140,60,60,40,https://pokemondb.net/pokedex/forretress,2,https://img.pokemondb.net/artwork/large/forretress.jpg
0206,Dunsparce,Normal,None,415,100,70,70,65,65,45,https://pokemondb.net/pokedex/dunsparce,2,https://img.pokemondb.net/artwork/large/dunsparce.jpg
0207,Gligar,Ground,Flying,430,65,75,105,35,65,85,https://pokemondb.net/pokedex/gligar,2,https://img.pokemondb.net/artwork/large/gligar.jpg
0208,Steelix,Steel,Ground,510,75,85,200,55,65,30,https://pokemondb.net/pokedex/steelix,2,https://img.pokemondb.net/artwork/large/steelix.jpg
0209,Snubbull,Fairy,None,300,60,80,50,40,40,30,https://pokemondb.net/pokedex/snubbull,2,https://img.pokemondb.net/artwork/large/snubbull.jpg
0210,Granbull,Fairy,None,450,90,120,75,60,60,45,https://pokemondb.net/pokedex/granbull,2,https://img.pokemondb.net/artwork/large/granbull.jpg
0211,Qwilfish,Water,Poison,440,65,95,85,55,55,85,https://pokemondb.net/pokedex/qwilfish,2,https://img.pokemondb.net/artwork/large/qwilfish.jpg
0212,Scizor,Bug,Steel,500,70,130,100,55,80,65,https://pokemondb.net/pokedex/scizor,2,https://img.pokemondb.net/artwork/large/scizor.jpg
0213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,https://pokemondb.net/pokedex/shuckle,2,https://img.pokemondb.net/artwork/large/shuckle.jpg
0214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,https://pokemondb.net/pokedex/heracross,2,https://img.pokemondb.net/artwork/large/heracross.jpg
0215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,https://pokemondb.net/pokedex/sneasel,2,https://img.pokemondb.net/artwork/large/sneasel.jpg
0216,Teddiursa,Normal,None,330,60,80,50,50,50,40,https://pokemondb.net/pokedex/teddiursa,2,https://img.pokemondb.net/artwork/large/teddiursa.jpg
0217,Ursaring,Normal,None,500,90,130,75,75,75,55,https://pokemondb.net/pokedex/ursaring,2,https://img.pokemondb.net/artwork/large/ursaring.jpg
0218,Slugma,Fire,None,250,40,40,40,70,40,20,https://pokemondb.net/pokedex/slugma,2,https://img.pokemondb.net/artwork/large/slugma.jpg
0219,Magcargo,Fire,Rock,430,60,50,120,90,80,30,https://pokemondb.net/pokedex/magcargo,2,https://img.pokemondb.net/artwork/large/magcargo.jpg
0220,Swinub,Ice,Ground,250,50,50,40,30,30,50,https://pokemondb.net/pokedex/swinub,2,https://img.pokemondb.net/artwork/large/swinub.jpg
0221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,https://pokemondb.net/pokedex/piloswine,2,https://img.pokemondb.net/artwork/large/piloswine.jpg
0222,Corsola,Water,Rock,410,65,55,95,65,95,35,https://pokemondb.net/pokedex/corsola,2,https://img.pokemondb.net/artwork/large/corsola.jpg
0223,Remoraid,Water,None,300,35,65,35,65,35,65,https://pokemondb.net/pokedex/remoraid,2,https://img.pokemondb.net/artwork/large/remoraid.jpg
0224,Octillery,Water,None,480,75,105,75,105,75,45,https://pokemondb.net/pokedex/octillery,2,https://img.pokemondb.net/artwork/large/octillery.jpg
0225,Delibird,Ice,Flying,330,45,55,45,65,45,75,https://pokemondb.net/pokedex/delibird,2,https://img.pokemondb.net/artwork/large/delibird.jpg
0226,Mantine,Water,Flying,485,85,40,70,80,140,70,https://pokemondb.net/pokedex/mantine,2,https://img.pokemondb.net/artwork/large/mantine.jpg
0227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,https://pokemondb.net/pokedex/skarmory,2,https://img.pokemondb.net/artwork/large/skarmory.jpg
0228,Houndour,Dark,Fire,330,45,60,30,80,50,65,https://pokemondb.net/pokedex/houndour,2,https://img.pokemondb.net/artwork/large/houndour.jpg
0229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,https://pokemondb.net/pokedex/houndoom,2,https://img.pokemondb.net/artwork/large/houndoom.jpg
0230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,https://pokemondb.net/pokedex/kingdra,2,https://img.pokemondb.net/artwork/large/kingdra.jpg
0231,Phanpy,Ground,None,330,90,60,60,40,40,40,https://pokemondb.net/pokedex/phanpy,2,https://img.pokemondb.net/artwork/large/phanpy.jpg
0232,Donphan,Ground,None,500,90,120,120,60,60,50,https://pokemondb.net/pokedex/donphan,2,https://img.pokemondb.net/artwork/large/donphan.jpg
0233,Porygon2,Normal,None,515,85,80,90,105,95,60,https://pokemondb.net/pokedex/porygon2,2,https://img.pokemondb.net/artwork/large/porygon2.jpg
0234,Stantler,Normal,None,465,73,95,62,85,65,85,https://pokemondb.net/pokedex/stantler,2,https://img.pokemondb.net/artwork/large/stantler.jpg
0235,Smeargle,Normal,None,250,55,20,35,20,45,75,https://pokemondb.net/pokedex/smeargle,2,https://img.pokemondb.net/artwork/large/smeargle.jpg
0236,Tyrogue,Fighting,None,210,35,35,35,35,35,35,https://pokemondb.net/pokedex/tyrogue,2,https://img.pokemondb.net/artwork/large/tyrogue.jpg
0237,Hitmontop,Fighting,None,455,50,95,95,35,110,70,https://pokemondb.net/pokedex/hitmontop,2,https://img.pokemondb.net/artwork/large/hitmontop.jpg
0238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,https://pokemondb.net/pokedex/smoochum,2,https://img.pokemondb.net/artwork/large/smoochum.jpg
0239,Elekid,Electric,None,360,45,63,37,65,55,95,https://pokemondb.net/pokedex/elekid,2,https://img.pokemondb.net/artwork/large/elekid.jpg
0240,Magby,Fire,None,365,45,75,37,70,55,83,https://pokemondb.net/pokedex/magby,2,https://img.pokemondb.net/artwork/large/magby.jpg
0241,Miltank,Normal,None,490,95,80,105,40,70,100,https://pokemondb.net/pokedex/miltank,2,https://img.pokemondb.net/artwork/large/miltank.jpg
0242,Blissey,Normal,None,540,255,10,10,75,135,55,https://pokemondb.net/pokedex/blissey,2,https://img.pokemondb.net/artwork/large/blissey.jpg
0243,Raikou,Electric,None,580,90,85,75,115,100,115,https://pokemondb.net/pokedex/raikou,2,https://img.pokemondb.net/artwork/large/raikou.jpg
0244,Entei,Fire,None,580,115,115,85,90,75,100,https://pokemondb.net/pokedex/entei,2,https://img.pokemondb.net/artwork/large/entei.jpg
0245,Suicune,Water,None,580,100,75,115,90,115,85,https://pokemondb.net/pokedex/suicune,2,https://img.pokemondb.net/artwork/large/suicune.jpg
0246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,https://pokemondb.net/pokedex/larvitar,2,https://img.pokemondb.net/artwork/large/larvitar.jpg
0247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,https://pokemondb.net/pokedex/pupitar,2,https://img.pokemondb.net/artwork/large/pupitar.jpg
0248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,https://pokemondb.net/pokedex/tyranitar,2,https://img.pokemondb.net/artwork/large/tyranitar.jpg
0249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,https://pokemondb.net/pokedex/lugia,2,https://img.pokemondb.net/artwork/large/lugia.jpg
0250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,https://pokemondb.net/pokedex/ho-oh,2,https://img.pokemondb.net/artwork/large/ho-oh.jpg
0251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,https://pokemondb.net/pokedex/celebi,2,https://img.pokemondb.net/artwork/large/celebi.jpg
0252,Treecko,Grass,None,310,40,45,35,65,55,70,https://pokemondb.net/pokedex/treecko,3,https://img.pokemondb.net/artwork/large/treecko.jpg
0253,Grovyle,Grass,None,405,50,65,45,85,65,95,https://pokemondb.net/pokedex/grovyle,3,https://img.pokemondb.net/artwork/large/grovyle.jpg
0254,Sceptile,Grass,None,530,70,85,65,105,85,120,https://pokemondb.net/pokedex/sceptile,3,https://img.pokemondb.net/artwork/large/sceptile.jpg
0255,Torchic,Fire,None,310,45,60,40,70,50,45,https://pokemondb.net/pokedex/torchic,3,https://img.pokemondb.net/artwork/large/torchic.jpg
0256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,https://pokemondb.net/pokedex/combusken,3,https://img.pokemondb.net/artwork/large/combusken.jpg
0257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,https://pokemondb.net/pokedex/blaziken,3,https://img.pokemondb.net/artwork/large/blaziken.jpg
0258,Mudkip,Water,None,310,50,70,50,50,50,40,https://pokemondb.net/pokedex/mudkip,3,https://img.pokemondb.net/artwork/large/mudkip.jpg
0259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,https://pokemondb.net/pokedex/marshtomp,3,https://img.pokemondb.net/artwork/large/marshtomp.jpg
0260,Swampert,Water,Ground,535,100,110,90,85,90,60,https://pokemondb.net/pokedex/swampert,3,https://img.pokemondb.net/artwork/large/swampert.jpg
0261,Poochyena,Dark,None,220,35,55,35,30,30,35,https://pokemondb.net/pokedex/poochyena,3,https://img.pokemondb.net/artwork/large/poochyena.jpg
0262,Mightyena,Dark,None,420,70,90,70,60,60,70,https://pokemondb.net/pokedex/mightyena,3,https://img.pokemondb.net/artwork/large/mightyena.jpg
0263,Zigzagoon,Normal,None,240,38,30,41,30,41,60,https://pokemondb.net/pokedex/zigzagoon,3,https://img.pokemondb.net/artwork/large/zigzagoon.jpg
0264,Linoone,Normal,None,420,78,70,61,50,61,100,https://pokemondb.net/pokedex/linoone,3,https://img.pokemondb.net/artwork/large/linoone.jpg
0265,Wurmple,Bug,None,195,45,45,35,20,30,20,https://pokemondb.net/pokedex/wurmple,3,https://img.pokemondb.net/artwork/large/wurmple.jpg
0266,Silcoon,Bug,None,205,50,35,55,25,25,15,https://pokemondb.net/pokedex/silcoon,3,https://img.pokemondb.net/artwork/large/silcoon.jpg
0267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,https://pokemondb.net/pokedex/beautifly,3,https://img.pokemondb.net/artwork/large/beautifly.jpg
0268,Cascoon,Bug,None,205,50,35,55,25,25,15,https://pokemondb.net/pokedex/cascoon,3,https://img.pokemondb.net/artwork/large/cascoon.jpg
0269,Dustox,Bug,Poison,385,60,50,70,50,90,65,https://pokemondb.net/pokedex/dustox,3,https://img.pokemondb.net/artwork/large/dustox.jpg
0270,Lotad,Water,Grass,220,40,30,30,40,50,30,https://pokemondb.net/pokedex/lotad,3,https://img.pokemondb.net/artwork/large/lotad.jpg
0271,Lombre,Water,Grass,340,60,50,50,60,70,50,https://pokemondb.net/pokedex/lombre,3,https://img.pokemondb.net/artwork/large/lombre.jpg
0272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,https://pokemondb.net/pokedex/ludicolo,3,https://img.pokemondb.net/artwork/large/ludicolo.jpg
0273,Seedot,Grass,None,220,40,40,50,30,30,30,https://pokemondb.net/pokedex/seedot,3,https://img.pokemondb.net/artwork/large/seedot.jpg
0274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,https://pokemondb.net/pokedex/nuzleaf,3,https://img.pokemondb.net/artwork/large/nuzleaf.jpg
0275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,https://pokemondb.net/pokedex/shiftry,3,https://img.pokemondb.net/artwork/large/shiftry.jpg
0276,Taillow,Normal,Flying,270,40,55,30,30,30,85,https://pokemondb.net/pokedex/taillow,3,https://img.pokemondb.net/artwork/large/taillow.jpg
0277,Swellow,Normal,Flying,455,60,85,60,75,50,125,https://pokemondb.net/pokedex/swellow,3,https://img.pokemondb.net/artwork/large/swellow.jpg
0278,Wingull,Water,Flying,270,40,30,30,55,30,85,https://pokemondb.net/pokedex/wingull,3,https://img.pokemondb.net/artwork/large/wingull.jpg
0279,Pelipper,Water,Flying,440,60,50,100,95,70,65,https://pokemondb.net/pokedex/pelipper,3,https://img.pokemondb.net/artwork/large/pelipper.jpg
0280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,https://pokemondb.net/pokedex/ralts,3,https://img.pokemondb.net/artwork/large/ralts.jpg
0281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,https://pokemondb.net/pokedex/kirlia,3,https://img.pokemondb.net/artwork/large/kirlia.jpg
0282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,https://pokemondb.net/pokedex/gardevoir,3,https://img.pokemondb.net/artwork/large/gardevoir.jpg
0283,Surskit,Bug,Water,269,40,30,32,50,52,65,https://pokemondb.net/pokedex/surskit,3,https://img.pokemondb.net/artwork/large/surskit.jpg
0284,Masquerain,Bug,Flying,454,70,60,62,100,82,80,https://pokemondb.net/pokedex/masquerain,3,https://img.pokemondb.net/artwork/large/masquerain.jpg
0285,Shroomish,Grass,None,295,60,40,60,40,60,35,https://pokemondb.net/pokedex/shroomish,3,https://img.pokemondb.net/artwork/large/shroomish.jpg
0286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,https://pokemondb.net/pokedex/breloom,3,https://img.pokemondb.net/artwork/large/breloom.jpg
0287,Slakoth,Normal,None,280,60,60,60,35,35,30,https://pokemondb.net/pokedex/slakoth,3,https://img.pokemondb.net/artwork/large/slakoth.jpg
0288,Vigoroth,Normal,None,440,80,80,80,55,55,90,https://pokemondb.net/pokedex/vigoroth,3,https://img.pokemondb.net/artwork/large/vigoroth.jpg
0289,Slaking,Normal,None,670,150,160,100,95,65,100,https://pokemondb.net/pokedex/slaking,3,https://img.pokemondb.net/artwork/large/slaking.jpg
0290,Nincada,Bug,Ground,266,31,45,90,30,30,40,https://pokemondb.net/pokedex/nincada,3,https://img.pokemondb.net/artwork/large/nincada.jpg
0291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,https://pokemondb.net/pokedex/ninjask,3,https://img.pokemondb.net/artwork/large/ninjask.jpg
0292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,https://pokemondb.net/pokedex/shedinja,3,https://img.pokemondb.net/artwork/large/shedinja.jpg
0293,Whismur,Normal,None,240,64,51,23,51,23,28,https://pokemondb.net/pokedex/whismur,3,https://img.pokemondb.net/artwork/large/whismur.jpg
0294,Loudred,Normal,None,360,84,71,43,71,43,48,https://pokemondb.net/pokedex/loudred,3,https://img.pokemondb.net/artwork/large/loudred.jpg
0295,Exploud,Normal,None,490,104,91,63,91,73,68,https://pokemondb.net/pokedex/exploud,3,https://img.pokemondb.net/artwork/large/exploud.jpg
0296,Makuhita,Fighting,None,237,72,60,30,20,30,25,https://pokemondb.net/pokedex/makuhita,3,https://img.pokemondb.net/artwork/large/makuhita.jpg
0297,Hariyama,Fighting,None,474,144,120,60,40,60,50,https://pokemondb.net/pokedex/hariyama,3,https://img.pokemondb.net/artwork/large/hariyama.jpg
0298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,https://pokemondb.net/pokedex/azurill,3,https://img.pokemondb.net/artwork/large/azurill.jpg
0299,Nosepass,Rock,None,375,30,45,135,45,90,30,https://pokemondb.net/pokedex/nosepass,3,https://img.pokemondb.net/artwork/large/nosepass.jpg
0300,Skitty,Normal,None,260,50,45,45,35,35,50,https://pokemondb.net/pokedex/skitty,3,https://img.pokemondb.net/artwork/large/skitty.jpg
0301,Delcatty,Normal,None,400,70,65,65,55,55,90,https://pokemondb.net/pokedex/delcatty,3,https://img.pokemondb.net/artwork/large/delcatty.jpg
0302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,https://pokemondb.net/pokedex/sableye,3,https://img.pokemondb.net/artwork/large/sableye.jpg
0303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,https://pokemondb.net/pokedex/mawile,3,https://img.pokemondb.net/artwork/large/mawile.jpg
0304,Aron,Steel,Rock,330,50,70,100,40,40,30,https://pokemondb.net/pokedex/aron,3,https://img.pokemondb.net/artwork/large/aron.jpg
0305,Lairon,Steel,Rock,430,60,90,140,50,50,40,https://pokemondb.net/pokedex/lairon,3,https://img.pokemondb.net/artwork/large/lairon.jpg
0306,Aggron,Steel,Rock,530,70,110,180,60,60,50,https://pokemondb.net/pokedex/aggron,3,https://img.pokemondb.net/artwork/large/aggron.jpg
0307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,https://pokemondb.net/pokedex/meditite,3,https://img.pokemondb.net/artwork/large/meditite.jpg
0308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,https://pokemondb.net/pokedex/medicham,3,https://img.pokemondb.net/artwork/large/medicham.jpg
0309,Electrike,Electric,None,295,40,45,40,65,40,65,https://pokemondb.net/pokedex/electrike,3,https://img.pokemondb.net/artwork/large/electrike.jpg
0310,Manectric,Electric,None,475,70,75,60,105,60,105,https://pokemondb.net/pokedex/manectric,3,https://img.pokemondb.net/artwork/large/manectric.jpg
0311,Plusle,Electric,None,405,60,50,40,85,75,95,https://pokemondb.net/pokedex/plusle,3,https://img.pokemondb.net/artwork/large/plusle.jpg
0312,Minun,Electric,None,405,60,40,50,75,85,95,https://pokemondb.net/pokedex/minun,3,https://img.pokemondb.net/artwork/large/minun.jpg
0313,Volbeat,Bug,None,430,65,73,75,47,85,85,https://pokemondb.net/pokedex/volbeat,3,https://img.pokemondb.net/artwork/large/volbeat.jpg
0314,Illumise,Bug,None,430,65,47,75,73,85,85,https://pokemondb.net/pokedex/illumise,3,https://img.pokemondb.net/artwork/large/illumise.jpg
0315,Roselia,Grass,Poison,400,50,60,45,100,80,65,https://pokemondb.net/pokedex/roselia,3,https://img.pokemondb.net/artwork/large/roselia.jpg
0316,Gulpin,Poison,None,302,70,43,53,43,53,40,https://pokemondb.net/pokedex/gulpin,3,https://img.pokemondb.net/artwork/large/gulpin.jpg
0317,Swalot,Poison,None,467,100,73,83,73,83,55,https://pokemondb.net/pokedex/swalot,3,https://img.pokemondb.net/artwork/large/swalot.jpg
0318,Carvanha,Water,Dark,305,45,90,20,65,20,65,https://pokemondb.net/pokedex/carvanha,3,https://img.pokemondb.net/artwork/large/carvanha.jpg
0319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,https://pokemondb.net/pokedex/sharpedo,3,https://img.pokemondb.net/artwork/large/sharpedo.jpg
0320,Wailmer,Water,None,400,130,70,35,70,35,60,https://pokemondb.net/pokedex/wailmer,3,https://img.pokemondb.net/artwork/large/wailmer.jpg
0321,Wailord,Water,None,500,170,90,45,90,45,60,https://pokemondb.net/pokedex/wailord,3,https://img.pokemondb.net/artwork/large/wailord.jpg
0322,Numel,Fire,Ground,305,60,60,40,65,45,35,https://pokemondb.net/pokedex/numel,3,https://img.pokemondb.net/artwork/large/numel.jpg
0323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,https://pokemondb.net/pokedex/camerupt,3,https://img.pokemondb.net/artwork/large/camerupt.jpg
0324,Torkoal,Fire,None,470,70,85,140,85,70,20,https://pokemondb.net/pokedex/torkoal,3,https://img.pokemondb.net/artwork/large/torkoal.jpg
0325,Spoink,Psychic,None,330,60,25,35,70,80,60,https://pokemondb.net/pokedex/spoink,3,https://img.pokemondb.net/artwork/large/spoink.jpg
0326,Grumpig,Psychic,None,470,80,45,65,90,110,80,https://pokemondb.net/pokedex/grumpig,3,https://img.pokemondb.net/artwork/large/grumpig.jpg
0327,Spinda,Normal,None,360,60,60,60,60,60,60,https://pokemondb.net/pokedex/spinda,3,https://img.pokemondb.net/artwork/large/spinda.jpg
0328,Trapinch,Ground,None,290,45,100,45,45,45,10,https://pokemondb.net/pokedex/trapinch,3,https://img.pokemondb.net/artwork/large/trapinch.jpg
0329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,https://pokemondb.net/pokedex/vibrava,3,https://img.pokemondb.net/artwork/large/vibrava.jpg
0330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,https://pokemondb.net/pokedex/flygon,3,https://img.pokemondb.net/artwork/large/flygon.jpg
0331,Cacnea,Grass,None,335,50,85,40,85,40,35,https://pokemondb.net/pokedex/cacnea,3,https://img.pokemondb.net/artwork/large/cacnea.jpg
0332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,https://pokemondb.net/pokedex/cacturne,3,https://img.pokemondb.net/artwork/large/cacturne.jpg
0333,Swablu,Normal,Flying,310,45,40,60,40,75,50,https://pokemondb.net/pokedex/swablu,3,https://img.pokemondb.net/artwork/large/swablu.jpg
0334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,https://pokemondb.net/pokedex/altaria,3,https://img.pokemondb.net/artwork/large/altaria.jpg
0335,Zangoose,Normal,None,458,73,115,60,60,60,90,https://pokemondb.net/pokedex/zangoose,3,https://img.pokemondb.net/artwork/large/zangoose.jpg
0336,Seviper,Poison,None,458,73,100,60,100,60,65,https://pokemondb.net/pokedex/seviper,3,https://img.pokemondb.net/artwork/large/seviper.jpg
0337,Lunatone,Rock,Psychic,460,90,55,65,95,85,70,https://pokemondb.net/pokedex/lunatone,3,https://img.pokemondb.net/artwork/large/lunatone.jpg
0338,Solrock,Rock,Psychic,460,90,95,85,55,65,70,https://pokemondb.net/pokedex/solrock,3,https://img.pokemondb.net/artwork/large/solrock.jpg
0339,Barboach,Water,Ground,288,50,48,43,46,41,60,https://pokemondb.net/pokedex/barboach,3,https://img.pokemondb.net/artwork/large/barboach.jpg
0340,Whiscash,Water,Ground,468,110,78,73,76,71,60,https://pokemondb.net/pokedex/whiscash,3,https://img.pokemondb.net/artwork/large/whiscash.jpg
0341,Corphish,Water,None,308,43,80,65,50,35,35,https://pokemondb.net/pokedex/corphish,3,https://img.pokemondb.net/artwork/large/corphish.jpg
0342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,https://pokemondb.net/pokedex/crawdaunt,3,https://img.pokemondb.net/artwork/large/crawdaunt.jpg
0343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,https://pokemondb.net/pokedex/baltoy,3,https://img.pokemondb.net/artwork/large/baltoy.jpg
0344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,https://pokemondb.net/pokedex/claydol,3,https://img.pokemondb.net/artwork/large/claydol.jpg
0345,Lileep,Rock,Grass,355,66,41,77,61,87,23,https://pokemondb.net/pokedex/lileep,3,https://img.pokemondb.net/artwork/large/lileep.jpg
0346,Cradily,Rock,Grass,495,86,81,97,81,107,43,https://pokemondb.net/pokedex/cradily,3,https://img.pokemondb.net/artwork/large/cradily.jpg
0347,Anorith,Rock,Bug,355,45,95,50,40,50,75,https://pokemondb.net/pokedex/anorith,3,https://img.pokemondb.net/artwork/large/anorith.jpg
0348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,https://pokemondb.net/pokedex/armaldo,3,https://img.pokemondb.net/artwork/large/armaldo.jpg
0349,Feebas,Water,None,200,20,15,20,10,55,80,https://pokemondb.net/pokedex/feebas,3,https://img.pokemondb.net/artwork/large/feebas.jpg
0350,Milotic,Water,None,540,95,60,79,100,125,81,https://pokemondb.net/pokedex/milotic,3,https://img.pokemondb.net/artwork/large/milotic.jpg
0351,Castform,Normal,None,420,70,70,70,70,70,70,https://pokemondb.net/pokedex/castform,3,https://img.pokemondb.net/artwork/large/castform.jpg
0352,Kecleon,Normal,None,440,60,90,70,60,120,40,https://pokemondb.net/pokedex/kecleon,3,https://img.pokemondb.net/artwork/large/kecleon.jpg
0353,Shuppet,Ghost,None,295,44,75,35,63,33,45,https://pokemondb.net/pokedex/shuppet,3,https://img.pokemondb.net/artwork/large/shuppet.jpg
0354,Banette,Ghost,None,455,64,115,65,83,63,65,https://pokemondb.net/pokedex/banette,3,https://img.pokemondb.net/artwork/large/banette.jpg
0355,Duskull,Ghost,None,295,20,40,90,30,90,25,https://pokemondb.net/pokedex/duskull,3,https://img.pokemondb.net/artwork/large/duskull.jpg
0356,Dusclops,Ghost,None,455,40,70,130,60,130,25,https://pokemondb.net/pokedex/dusclops,3,https://img.pokemondb.net/artwork/large/dusclops.jpg
